workorder,open,close,tail,airframe,ata,label,label_id,cleaned_problem,original_problem,date,ata2,original_action
1112587,1/7/12,3/7/12,N7364H,H300,7200,engine idle/rpm issue,c_22,ENGINE IDLE OVERRIDE KILLED ENGINE.,ENGINE IDLE OVERRIDE KILLED ENGINE.,1/7/12,7200,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST."
1112587,1/7/12,3/7/12,N7364H,H300,7200,engine idle/rpm issue,c_22,ENGINE IDLE OVERRIDE KILLED ENGINE.,ENGINE IDLE OVERRIDE KILLED ENGINE.,2/7/12,7200,REMOVED & REPLACED FUEL SERVO W/ OVERHAULED S/N 8620057
1112587,1/7/12,3/7/12,N7364H,H300,7200,engine idle/rpm issue,c_22,ENGINE IDLE OVERRIDE KILLED ENGINE.,ENGINE IDLE OVERRIDE KILLED ENGINE.,3/7/12,7200,"A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO"
1112599,2/7/12,2/7/12,N571ND,C172,7200,engine need repair/reinstall/clean,c_23,HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,2/7/12,7200,"PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED."
1112600,2/7/12,2/7/12,N550ND,C172,7230,rocker cover leak/loose/damage,c_37,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,2/7/12,7230,REMOVED & REPLACED GASKETS.
1112626,2/7/12,2/7/12,N579ND,C172,7230,rocker cover leak/loose/damage,c_37,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,2/7/12,7230,TIGHTENED SCREWS.
1112626,2/7/12,2/7/12,N579ND,C172,7230,induction damage/hardware fail,c_27,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,2/7/12,7230,TIGHTENED HOSE CLAMPS.
1112630,2/7/12,2/7/12,N529ND,C172,7230,intake gasket leak/damage,c_28,#3 INTAKE IS LEAKING.,#3 INTAKE IS LEAKING.,2/7/12,7230,REMOVED & REPLACED GASKET.
1112645,2/7/12,2/7/12,N565ND,C172,7230,intake gasket leak/damage,c_28,#2 INTAKE IS LEAKING.,#2 INTAKE IS LEAKING.,2/7/12,7230,REMOVED & REPLACED #2 INTAKE GASKET.
1112645,2/7/12,2/7/12,N565ND,C172,7230,rocker cover leak/loose/damage,c_37,#4 ROCKER COVER IS LEAKING.,#4 ROCKER COVER IS LEAKING.,2/7/12,7230,REMOVED & REPLACED #4 ROCKER COVER GASKET.
