#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
0.89, 5.02, 9.146343690680101, -480.0, 64.58, 0.0, -0.01, 2566.0
1.85, 6.48, 10.33654923978109, -450.0, 64.86, 0.08, -0.03, 2559.0
0.87, 8.21, 11.317800749819963, -360.0, 64.15, 0.1, -0.02, 2554.0
1.59, 10.51, 11.532168045380729, -120.0, 65.37, 0.13, -0.05, 2554.0
0.53, 12.15, 11.134255012129193, 120.0, 65.97, 0.1, -0.05, 2558.0
0.75, 14.4, 13.136501002384808, 150.0, 66.44, 0.12, 0.01, 2567.0
0.69, 16.49, 14.146382476313597, 270.0, 63.62, 0.06, 0.01, 2580.0
1.7, 18.63, 10.861264133343493, 870.0, 61.27, 0.02, 0.01, 2597.0
2.19, 19.12, 8.261874370697422, 1200.0, 60.34, -0.05, 0.01, 2615.0
1.57, 19.6, 8.232518703429587, 1230.0, 58.51, -0.04, 0.01, 2633.0
2.05, 20.73, 3.4226698774945703, 1800.0, 55.83, -0.06, -0.0, 2653.0
1.33, 23.41, 4.818076639913926, 1800.0, 50.12, -0.02, -0.04, 2685.0
0.81, 25.15, 12.252591988260903, 1260.0, 50.11, -0.06, -0.04, 2703.0
0.09, 27.82, 14.88478805728961, 1200.0, 46.1, -0.01, -0.05, 2722.0
0.81, 29.05, 16.452028280309303, 1170.0, 46.15, -0.13, -0.02, 2740.0
0.03, 29.03, 17.486283739618777, 1020.0, 42.38, -0.2, -0.03, 2757.0
1.11, 30.3, 19.66950632614454, 900.0, 39.3, -0.12, -0.02, 2771.0
2.44, 27.75, 19.124946050145002, 660.0, 32.56, -0.27, -0.03, 2783.0
3.07, 11.52, 8.8815224455285, 210.0, 34.83, -0.52, -0.01, 2787.0
1.21, 1.88, 4.269532810575631, -210.0, 41.53, -0.26, -0.08, 2777.0
-0.05, -4.08, 7.050744248581509, -990.0, 42.82, -0.19, -0.08, 2756.0
-1.77, -9.26, 9.031659140942908, -1830.0, 52.73, -0.21, -0.05, 2728.0
0.16, -7.97, 12.10296043606255, -2190.0, 60.49, 0.1, 0.01, 2692.0
1.94, -4.09, 12.549991701494836, -1950.0, 66.54, 0.34, -0.03, 2659.0
3.02, 0.16, 11.411361732818254, -1440.0, 72.88, 0.35, -0.04, 2634.0
1.78, 2.08, 9.635915028434518, -1020.0, 76.6, 0.14, -0.03, 2619.0
1.87, 5.69, 11.4462715711993, -810.0, 79.75, 0.4, -0.04, 2608.0
2.1, 6.44, 9.425180934876595, -420.0, 79.64, 0.1, -0.0, 2605.0
2.86, 7.2, 4.046954417153584, 450.0, 80.79, 0.05, -0.06, 2608.0
4.38, 7.35, 3.5911301740366808, 540.0, 81.34, 0.03, 0.03, 2624.0
2.04, 6.71, 1.7107460982699862, 690.0, 78.19, -0.03, -0.01, 2634.0
0.34, 3.59, -3.667658757377489, 1020.0, 79.73, -0.09, -0.07, 2643.0
