#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
4.48, 3.85, 6.822765492630788, -390.0, 74.26, 0.01, 0.02, 328.0
6.57, 2.79, 1.3901576141889729, 180.0, 72.76, -0.09, 0.02, 326.0
8.84, 3.12, -1.0753682052634845, 540.0, 72.89, -0.07, -0.09, 320.0
6.99, 3.64, 2.04580272669474, 210.0, 74.54, -0.0, -0.18, 312.0
7.16, 2.25, 5.88269308504144, -480.0, 74.81, -0.12, -0.08, 301.0
3.63, 2.1, 8.558809254089464, -840.0, 73.74, 0.03, -0.1, 289.0
6.35, 1.03, 9.202469156007377, -1050.0, 72.94, -0.11, -0.11, 277.0
7.56, 1.72, 10.314265522710775, -1110.0, 73.35, -0.04, -0.14, 249.0
8.35, 2.91, 10.227878503828856, -930.0, 72.1, 0.05, -0.09, 234.0
7.13, 3.37, 9.044263154665021, -720.0, 71.91, 0.13, -0.16, 224.0
9.09, 2.58, 8.72286838253299, -780.0, 71.98, -0.01, -0.12, 210.0
8.54, 2.65, 9.936379010833061, -930.0, 72.41, 0.05, -0.05, 196.0
11.22, 3.35, 8.050633295890815, -600.0, 72.3, -0.02, -0.14, 185.0
10.44, 3.32, 7.0332112695799625, -480.0, 73.19, -0.05, -0.15, 173.0
11.04, 4.04, 13.310264746900796, -1200.0, 73.56, -0.05, -0.12, 161.0
8.96, 3.96, 16.739808575210954, -1590.0, 70.98, 0.12, -0.06, 138.0
2.83, 1.82, 16.440143076842098, -1770.0000000000005, 69.4, -0.05, 0.09, 127.0
-3.08, -0.41, 8.802569596871066, -1080.0000000000005, 65.64, -0.01, -0.04, 106.0
-4.25, 0.97, 4.391941359983764, -420.0, 69.74, 0.07, -0.01, 94.0
-1.29, 2.12, 8.984503809428357, -840.0, 69.62, 0.04, 0.03, 85.0
0.15, 1.98, 8.362413930781859, -780.0, 69.46, -0.02, 0.04, 79.0
-2.44, 2.35, 8.025068705676947, -690.0, 68.91, 0.06, 0.07, 71.0
-5.04, 3.23, 5.930033086544528, -330.0, 69.3, 0.07, 0.01, 63.0
-0.03, 1.85, 2.836005115139134, -120.0, 68.85, -0.09, 0.01, 56.0
-0.38, 3.19, 6.9437861096552425, -450.0, 67.44, 0.06, -0.0, 46.0
-1.3, 3.21, 7.529424719387339, -510.0, 66.0, 0.01, 0.04, 36.0
4.74, 4.55, 5.058065361988509, -60.0, 65.93, 0.1, -0.0, 28.0
-1.13, 6.48, 5.736278228648486, 90.0, 68.29, 0.13, -0.11, 23.0
4.66, 6.62, 7.62293058028648, -120.0, 67.19, -0.1, -0.08, 19.0
3.54, 7.6, 11.078070237816442, -419.9999999999999, 68.14, 0.02, -0.08, 16.0
4.67, 6.48, 15.511076704695292, -1050.0, 64.84, -0.18, -0.04, 13.0
2.98, 8.7, 15.642201449566064, -720.0, 54.51, -0.18, 0.0, 10.0
