#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-16.73, -0.97, 3.779353479209881, -750.0, 89.45, 0.1, 0.0, 670.0
-14.82, -1.18, 4.17505370543885, -840.0, 88.88, 0.04, -0.01, 658.0
-15.23, -1.26, 3.914949136747067, -810.0, 88.68, 0.01, 0.01, 645.0
-15.51, -1.38, 3.4220858738683955, -750.0, 88.47, 0.09, 0.0, 635.0
-18.72, -1.45, 2.182974614793462, -570.0, 88.83, 0.11, -0.06, 622.0
-20.2, -1.65, 1.9899499938020249, -570.0, 88.66, 0.08, -0.06, 613.0
-21.2, -1.36, 4.5019307473644385, -930.0, 89.92, 0.03, -0.01, 601.0
-21.65, -1.23, 3.9338552456053946, -810.0, 88.87, 0.15, -0.02, 589.0
-22.25, -2.65, 2.5555568985671075, -810.0, 88.16, 0.09, -0.12, 580.0
-25.14, -5.01, 0.6382580271517364, -870.0, 87.29, 0.04, -0.1, 556.0
-19.83, -5.27, -0.6230475080354552, -720.0, 87.76, 0.07, -0.08, 541.0
-15.81, -5.25, -0.6215469703466647, -720.0, 88.11, 0.11, -0.16, 525.0
-19.78, -6.88, -0.08210467778552388, -1080.0, 90.1, -0.0, -0.2, 512.0
-23.33, -5.82, 9.008297088656107, -2340.0, 90.29, -0.09, 0.08, 491.0
-20.58, -3.61, 19.641740527534246, -3510.0000000000036, 87.8, 0.06, 0.09, 465.0
-17.0, 0.35, 24.51384563108648, -3480.0000000000036, 83.95, 0.22, 0.18, 443.0
-14.86, 2.23, 18.824857456729433, -2310.0, 79.87, 0.08, 0.21, 427.0
-15.37, 4.42, 12.974674127996735, -1170.0, 77.67, 0.12, 0.24, 412.0
-15.45, 3.96, 8.433078254006189, -600.0, 75.97, 0.03, 0.2, 402.0
-16.95, 3.49, 5.987595747923226, -330.0, 74.78, -0.01, 0.14, 392.0
-18.87, 2.97, 5.8796270221025075, -390.0, 75.87, -0.08, 0.15, 382.0
-16.01, 2.82, 4.850776034876294, -270.0, 75.24, 0.04, 0.2, 369.0
-15.56, 2.22, -0.9190439068115182, 420.0, 75.74, 0.08, 0.09, 359.0
-11.17, 2.37, -1.0511403278585765, 480.0, 79.43, 0.13, 0.07, 351.0
-7.11, 4.16, 3.519871036348382, 90.0, 79.55, 0.15, 0.03, 346.0
-7.82, 5.19, 4.573807099294554, 90.0, 82.64, -0.01, 0.03, 343.0
-4.45, 6.15, 4.915750407033122, 180.0, 82.52, 0.1, 0.05, 346.0
-4.19, 6.14, 2.087544493768031, 600.0, 83.84, -0.06, -0.02, 352.0
-1.64, 6.61, 1.900117244577208, 720.0, 86.59, 0.1, 0.02, 360.0
-0.15, 6.73, 3.030296295270187, 570.0, 87.23, 0.06, 0.01, 368.0
-1.96, 7.39, 2.199792169228922, 810.0, 88.42, 0.17, -0.03, 373.0
1.27, 7.2, 0.9695533948755424, 990.0, 90.08, -0.07, -0.05, 386.0
